Date,Close
3/30/2017 16:00:00,43.82
3/31/2017 16:00:00,44.33
4/3/2017 16:00:00,44.58
4/4/2017 16:00:00,45.34
4/5/2017 16:00:00,45.46
4/6/2017 16:00:00,44.91
4/7/2017 16:00:00,44.74
4/10/2017 16:00:00,45.35
4/11/2017 16:00:00,45.12
4/12/2017 16:00:00,44.81
4/13/2017 16:00:00,44.23
4/17/2017 16:00:00,45.1
4/18/2017 16:00:00,45.19
4/19/2017 16:00:00,44.96
4/20/2017 16:00:00,45.1
4/21/2017 16:00:00,44.93
4/24/2017 16:00:00,45.37
4/25/2017 16:00:00,45.38
4/26/2017 16:00:00,45.46
4/27/2017 16:00:00,45.92
4/28/2017 16:00:00,46.25
5/1/2017 16:00:00,47.41
5/2/2017 16:00:00,47.35
5/3/2017 16:00:00,47.05
5/4/2017 16:00:00,46.88
5/5/2017 16:00:00,46.71
5/8/2017 16:00:00,47.45
5/9/2017 16:00:00,47.64
5/10/2017 16:00:00,47.45
5/11/2017 16:00:00,47.38
5/12/2017 16:00:00,48.07
5/15/2017 16:00:00,47.9
5/16/2017 16:00:00,48.3
5/17/2017 16:00:00,47.24
5/18/2017 16:00:00,47.92
5/19/2017 16:00:00,47.99
5/22/2017 16:00:00,48.53
5/23/2017 16:00:00,48.58
5/24/2017 16:00:00,49.02
5/25/2017 16:00:00,49.67
5/26/2017 16:00:00,49.79
5/30/2017 16:00:00,49.84
5/31/2017 16:00:00,49.73
6/1/2017 16:00:00,49.8
6/2/2017 16:00:00,50.34
6/5/2017 16:00:00,50.57
6/6/2017 16:00:00,50.15
6/7/2017 16:00:00,50.5
6/8/2017 16:00:00,50.51
6/9/2017 16:00:00,48.92
6/12/2017 16:00:00,48.25
6/13/2017 16:00:00,49.04
6/14/2017 16:00:00,48.82
6/15/2017 16:00:00,48.21
6/16/2017 16:00:00,49.39
6/19/2017 16:00:00,49.76
6/20/2017 16:00:00,49.63
6/21/2017 16:00:00,50.11
6/22/2017 16:00:00,50.07
6/23/2017 16:00:00,50.19
6/26/2017 16:00:00,49.7
6/27/2017 16:00:00,48.84
6/28/2017 16:00:00,49.52
6/29/2017 16:00:00,48.8
6/30/2017 16:00:00,48.4
7/3/2017 16:00:00,47.68
7/5/2017 16:00:00,48.57
7/6/2017 16:00:00,48.26
7/7/2017 16:00:00,48.94
7/10/2017 16:00:00,49.82
7/11/2017 16:00:00,49.71
7/12/2017 16:00:00,50.33
7/13/2017 16:00:00,50.03
7/14/2017 16:00:00,50.09
7/17/2017 16:00:00,50.5
7/18/2017 16:00:00,51.22
7/19/2017 16:00:00,51.34
7/20/2017 16:00:00,51.44
7/21/2017 16:00:00,51.28
7/24/2017 16:00:00,51.95
7/25/2017 16:00:00,51.99
7/26/2017 16:00:00,52.64
7/27/2017 16:00:00,52.3
7/28/2017 16:00:00,51
7/31/2017 16:00:00,49.39
8/1/2017 16:00:00,49.81
8/2/2017 16:00:00,49.79
8/3/2017 16:00:00,49.35
8/4/2017 16:00:00,49.38
8/7/2017 16:00:00,49.61
8/8/2017 16:00:00,49.49
8/9/2017 16:00:00,49.1
8/10/2017 16:00:00,47.85
8/11/2017 16:00:00,48.4
8/14/2017 16:00:00,49.17
8/15/2017 16:00:00,49.14
8/16/2017 16:00:00,48.91
8/17/2017 16:00:00,48.03
8/18/2017 16:00:00,47.92
8/21/2017 16:00:00,47.66
8/22/2017 16:00:00,48.35
8/23/2017 16:00:00,47.9
8/24/2017 16:00:00,47.62
8/25/2017 16:00:00,47.26
8/28/2017 16:00:00,47.3
8/29/2017 16:00:00,47.7
8/30/2017 16:00:00,48.38
8/31/2017 16:00:00,49.03
9/1/2017 16:00:00,48.91
9/5/2017 16:00:00,48.26
9/6/2017 16:00:00,48.39
9/7/2017 16:00:00,48.97
9/8/2017 16:00:00,48.3
9/11/2017 16:00:00,48.9
9/12/2017 16:00:00,49.13
9/13/2017 16:00:00,49.98
9/14/2017 16:00:00,49.61
9/15/2017 16:00:00,49.34
9/18/2017 16:00:00,48.71
9/19/2017 16:00:00,48.49
9/20/2017 16:00:00,48.66
9/21/2017 16:00:00,48.23
9/22/2017 16:00:00,47.76
9/25/2017 16:00:00,46.99
9/26/2017 16:00:00,46.93
9/27/2017 16:00:00,47.54
9/28/2017 16:00:00,47.82
9/29/2017 16:00:00,48.07
10/2/2017 16:00:00,47.96
10/3/2017 16:00:00,47.86
10/4/2017 16:00:00,48.27
10/5/2017 16:00:00,49.04
10/6/2017 16:00:00,49.48
10/9/2017 16:00:00,49.55
10/10/2017 16:00:00,49.36
10/11/2017 16:00:00,49.75
10/12/2017 16:00:00,50.05
10/13/2017 16:00:00,50.15
10/16/2017 16:00:00,50.32
10/17/2017 16:00:00,50.46
10/18/2017 16:00:00,49.85
10/19/2017 16:00:00,49.33
10/20/2017 16:00:00,49.15
10/23/2017 16:00:00,48.32
10/24/2017 16:00:00,48.8
10/25/2017 16:00:00,48.65
10/26/2017 16:00:00,48.62
10/27/2017 16:00:00,55.05
10/30/2017 16:00:00,55.54
10/31/2017 16:00:00,55.26
11/1/2017 16:00:00,55.18
11/2/2017 16:00:00,54.71
11/3/2017 16:00:00,55.58
11/6/2017 16:00:00,56.03
11/7/2017 16:00:00,56.16
11/8/2017 16:00:00,56.64
11/9/2017 16:00:00,56.46
11/10/2017 16:00:00,56.27
11/13/2017 16:00:00,56.46
11/14/2017 16:00:00,56.84
11/15/2017 16:00:00,56.33
11/16/2017 16:00:00,56.86
11/17/2017 16:00:00,56.49
11/20/2017 16:00:00,56.32
11/21/2017 16:00:00,56.97
11/22/2017 16:00:00,57.81
11/24/2017 13:00:00,59.3
11/27/2017 16:00:00,59.79
11/28/2017 16:00:00,59.68
11/29/2017 16:00:00,58.06
11/30/2017 16:00:00,58.84
12/1/2017 16:00:00,58.12
12/4/2017 16:00:00,56.7
12/5/2017 16:00:00,57.08
12/6/2017 16:00:00,57.62
12/7/2017 16:00:00,57.99
12/8/2017 16:00:00,58.1
12/11/2017 16:00:00,58.45
12/12/2017 16:00:00,58.25
12/13/2017 16:00:00,58.21
12/14/2017 16:00:00,58.71
12/15/2017 16:00:00,58.96
12/18/2017 16:00:00,59.53
12/19/2017 16:00:00,59.37
12/20/2017 16:00:00,58.88
12/21/2017 16:00:00,58.74
12/22/2017 16:00:00,58.42
12/26/2017 16:00:00,58.84
12/27/2017 16:00:00,59.11
12/28/2017 16:00:00,59.31
12/29/2017 16:00:00,58.47
1/2/2018 16:00:00,59.45
1/3/2018 16:00:00,60.21
1/4/2018 16:00:00,60.48
1/5/2018 16:00:00,61.46
1/8/2018 16:00:00,62.34
1/9/2018 16:00:00,62.64
1/10/2018 16:00:00,62.72
1/11/2018 16:00:00,63.83
1/12/2018 16:00:00,65.26
1/16/2018 16:00:00,65.24
1/17/2018 16:00:00,64.75
1/18/2018 16:00:00,64.67
1/19/2018 16:00:00,64.73
1/22/2018 16:00:00,66.37
1/23/2018 16:00:00,68.13
1/24/2018 16:00:00,67.88
1/25/2018 16:00:00,68.9
1/26/2018 16:00:00,70.1
1/29/2018 16:00:00,70.88
1/30/2018 16:00:00,71.89
1/31/2018 16:00:00,72.54
2/1/2018 16:00:00,69.5
2/2/2018 16:00:00,71.5
2/5/2018 16:00:00,69.5
2/6/2018 16:00:00,72.14
2/7/2018 16:00:00,70.84
2/8/2018 16:00:00,67.53
2/9/2018 16:00:00,66.98
2/12/2018 16:00:00,69.31
2/13/2018 16:00:00,70.73
2/14/2018 16:00:00,72.55
2/15/2018 16:00:00,73.09
2/16/2018 16:00:00,72.43
2/20/2018 16:00:00,73.42
2/21/2018 16:00:00,74.15
2/22/2018 16:00:00,74.27
2/23/2018 16:00:00,75
2/26/2018 16:00:00,76.1
2/27/2018 16:00:00,75.6
2/28/2018 16:00:00,75.62
3/1/2018 16:00:00,74.67
3/2/2018 16:00:00,75.01
3/5/2018 16:00:00,76.18
3/6/2018 16:00:00,76.88
3/7/2018 16:00:00,77.25
3/8/2018 16:00:00,77.59
3/9/2018 16:00:00,78.94
3/12/2018 16:00:00,79.92
3/13/2018 16:00:00,79.41
3/14/2018 16:00:00,79.55
3/15/2018 16:00:00,79.12
3/16/2018 16:00:00,78.58
3/19/2018 16:00:00,77.25
3/20/2018 16:00:00,79.33
3/21/2018 16:00:00,79.09
3/22/2018 16:00:00,77.25
3/23/2018 16:00:00,74.78
3/26/2018 16:00:00,77.79
3/27/2018 16:00:00,74.85
3/28/2018 16:00:00,71.57
3/29/2018 16:00:00,72.37
4/2/2018 16:00:00,68.6
4/3/2018 16:00:00,69.6
4/4/2018 16:00:00,70.53
4/5/2018 16:00:00,72.59
4/6/2018 16:00:00,70.26
4/9/2018 16:00:00,70.3
4/10/2018 16:00:00,71.81
4/11/2018 16:00:00,71.35
4/12/2018 16:00:00,72.43
4/13/2018 16:00:00,71.54
4/16/2018 16:00:00,72.08
4/17/2018 16:00:00,75.19
4/18/2018 16:00:00,76.39
4/19/2018 16:00:00,77.85
4/20/2018 16:00:00,76.37
4/23/2018 16:00:00,75.89
4/24/2018 16:00:00,73
4/25/2018 16:00:00,73.01
4/26/2018 16:00:00,75.9
4/27/2018 16:00:00,78.63
4/30/2018 16:00:00,78.31
5/1/2018 16:00:00,79.11
5/2/2018 16:00:00,78.48
5/3/2018 16:00:00,78.6
5/4/2018 16:00:00,79.05
5/7/2018 16:00:00,80.01
5/8/2018 16:00:00,79.62
5/9/2018 16:00:00,80.4
5/10/2018 16:00:00,80.45
5/11/2018 16:00:00,80.15
5/14/2018 16:00:00,80.08
5/15/2018 16:00:00,78.81
5/16/2018 16:00:00,79.36
5/17/2018 16:00:00,79.09
5/18/2018 16:00:00,78.72
5/21/2018 16:00:00,79.27
5/22/2018 16:00:00,79.07
5/23/2018 16:00:00,80.09
5/24/2018 16:00:00,80.15
5/25/2018 16:00:00,80.51
5/29/2018 16:00:00,80.64
5/30/2018 16:00:00,81.24
5/31/2018 16:00:00,81.24
6/1/2018 16:00:00,82.08
6/4/2018 16:00:00,83.26
6/5/2018 16:00:00,84.82
6/6/2018 16:00:00,84.79
6/7/2018 16:00:00,84.47
6/8/2018 16:00:00,84.2
6/11/2018 16:00:00,84.46
6/12/2018 16:00:00,84.94
6/13/2018 16:00:00,85.24
6/14/2018 16:00:00,86.19
6/15/2018 16:00:00,85.8
6/18/2018 16:00:00,86.19
6/19/2018 16:00:00,86.74
6/20/2018 16:00:00,87.5
6/21/2018 16:00:00,86.51
6/22/2018 16:00:00,85.78
6/25/2018 16:00:00,83.16
6/26/2018 16:00:00,84.55
6/27/2018 16:00:00,83.03
6/28/2018 16:00:00,85.07
6/29/2018 16:00:00,84.99
7/2/2018 16:00:00,85.69
7/3/2018 13:00:00,84.7
7/5/2018 16:00:00,84.99
7/6/2018 16:00:00,85.53
7/9/2018 16:00:00,86.95
7/10/2018 16:00:00,87.15
7/11/2018 16:00:00,87.75
7/12/2018 16:00:00,89.83
7/13/2018 16:00:00,90.65
7/16/2018 16:00:00,91.12
7/17/2018 16:00:00,92.2
7/18/2018 16:00:00,92.15
7/19/2018 16:00:00,90.65
7/20/2018 16:00:00,90.69
7/23/2018 16:00:00,90.1
7/24/2018 16:00:00,91.46
7/25/2018 16:00:00,93.18
7/26/2018 16:00:00,90.4
7/27/2018 16:00:00,90.86
7/30/2018 16:00:00,88.96
7/31/2018 16:00:00,88.87
8/1/2018 16:00:00,89.86
8/2/2018 16:00:00,91.72
8/3/2018 16:00:00,91.16
8/6/2018 16:00:00,92.39
8/7/2018 16:00:00,93.12
8/8/2018 16:00:00,94.33
8/9/2018 16:00:00,94.93
8/10/2018 16:00:00,94.32
8/13/2018 16:00:00,94.81
8/14/2018 16:00:00,95.98
8/15/2018 16:00:00,94.13
8/16/2018 16:00:00,94.33
8/17/2018 16:00:00,94.11
8/20/2018 16:00:00,93.84
8/21/2018 16:00:00,94.17
8/22/2018 16:00:00,95.25
8/23/2018 16:00:00,95.15
8/24/2018 16:00:00,95.27
8/27/2018 16:00:00,96.38
8/28/2018 16:00:00,96.64
8/29/2018 16:00:00,99.91
8/30/2018 16:00:00,100.12
8/31/2018 16:00:00,100.64
9/4/2018 16:00:00,101.98
9/5/2018 16:00:00,99.74
9/6/2018 16:00:00,97.92
9/7/2018 16:00:00,97.6
9/10/2018 16:00:00,96.95
9/11/2018 16:00:00,99.36
9/12/2018 16:00:00,99.5
9/13/2018 16:00:00,99.49
9/14/2018 16:00:00,98.51
9/17/2018 16:00:00,95.4
9/18/2018 16:00:00,97.05
9/19/2018 16:00:00,96.32
9/20/2018 16:00:00,97.22
9/21/2018 16:00:00,95.75
9/24/2018 16:00:00,96.72
9/25/2018 16:00:00,98.73
9/26/2018 16:00:00,98.74
9/27/2018 16:00:00,100.65
9/28/2018 16:00:00,100.15
10/1/2018 16:00:00,100.22
10/2/2018 16:00:00,98.57
10/3/2018 16:00:00,97.64
10/4/2018 16:00:00,95.47
10/5/2018 16:00:00,94.48
10/8/2018 16:00:00,93.22
10/9/2018 16:00:00,93.52
10/10/2018 16:00:00,87.76
10/11/2018 16:00:00,85.97
10/12/2018 16:00:00,89.43
10/15/2018 16:00:00,88.05
10/16/2018 16:00:00,91
10/17/2018 16:00:00,91.59
10/18/2018 16:00:00,88.54
10/19/2018 16:00:00,88.2
10/22/2018 16:00:00,89.47
10/23/2018 16:00:00,88.44
10/24/2018 16:00:00,83.21
10/25/2018 16:00:00,89.11
10/26/2018 16:00:00,82.14
10/29/2018 16:00:00,76.94
10/30/2018 16:00:00,76.52
10/31/2018 16:00:00,79.9
11/1/2018 16:00:00,83.28
11/2/2018 16:00:00,83.28
11/5/2018 16:00:00,81.39
11/6/2018 16:00:00,82.14
11/7/2018 16:00:00,87.77
11/8/2018 16:00:00,87.75
11/9/2018 16:00:00,85.62
11/12/2018 16:00:00,81.84
11/13/2018 16:00:00,81.56
11/14/2018 16:00:00,79.95
11/15/2018 16:00:00,80.97
11/16/2018 16:00:00,79.67
11/19/2018 16:00:00,75.61
11/20/2018 16:00:00,74.77
11/21/2018 16:00:00,75.84
11/23/2018 13:00:00,75.1
11/26/2018 16:00:00,79.07
11/27/2018 16:00:00,79.07
11/28/2018 16:00:00,83.89
11/29/2018 16:00:00,83.68
11/30/2018 16:00:00,84.51
12/3/2018 16:00:00,88.62
12/4/2018 16:00:00,83.42
12/6/2018 16:00:00,84.96
12/7/2018 16:00:00,81.46
12/10/2018 16:00:00,82.05
12/11/2018 16:00:00,82.16
12/12/2018 16:00:00,83.18
12/13/2018 16:00:00,82.92
12/14/2018 16:00:00,79.6
12/17/2018 16:00:00,76.05
12/18/2018 16:00:00,77.57
12/19/2018 16:00:00,74.75
12/20/2018 16:00:00,73.04
12/21/2018 16:00:00,68.87
12/24/2018 13:00:00,67.2
12/26/2018 16:00:00,73.55
12/27/2018 16:00:00,73.08
12/28/2018 16:00:00,73.9
12/31/2018 16:00:00,75.1
1/2/2019 16:00:00,76.96
1/3/2019 16:00:00,75.01
1/4/2019 16:00:00,78.77
1/7/2019 16:00:00,81.48
1/8/2019 16:00:00,82.83
1/9/2019 16:00:00,82.97
1/10/2019 16:00:00,82.81
1/11/2019 16:00:00,82.03
1/14/2019 16:00:00,80.86
1/15/2019 16:00:00,83.73
1/16/2019 16:00:00,84.19
1/17/2019 16:00:00,84.66
1/18/2019 16:00:00,84.81
1/22/2019 16:00:00,81.61
1/23/2019 16:00:00,82
1/24/2019 16:00:00,82.75
1/25/2019 16:00:00,83.53
1/28/2019 16:00:00,81.89
1/29/2019 16:00:00,79.69
1/30/2019 16:00:00,83.52
1/31/2019 16:00:00,85.94
2/1/2019 16:00:00,81.31
2/4/2019 16:00:00,81.67
2/5/2019 16:00:00,82.94
2/6/2019 16:00:00,82.01
2/7/2019 16:00:00,80.72
2/8/2019 16:00:00,79.41
2/11/2019 16:00:00,79.55
2/12/2019 16:00:00,81.9
2/13/2019 16:00:00,82
2/14/2019 16:00:00,81.13
2/15/2019 16:00:00,80.4
2/19/2019 16:00:00,81.38
2/20/2019 16:00:00,81.11
2/21/2019 16:00:00,80.97
2/22/2019 16:00:00,81.58
2/25/2019 16:00:00,81.65
2/26/2019 16:00:00,81.82
2/27/2019 16:00:00,82.05
2/28/2019 16:00:00,81.99
3/1/2019 16:00:00,83.59
3/4/2019 16:00:00,84.81
3/5/2019 16:00:00,84.62
3/6/2019 16:00:00,83.45
3/7/2019 16:00:00,81.3
3/8/2019 16:00:00,81.04
3/11/2019 16:00:00,83.53
3/12/2019 16:00:00,83.66
3/13/2019 16:00:00,84.54
3/14/2019 16:00:00,84.31
3/15/2019 16:00:00,85.62
3/18/2019 16:00:00,87.11
3/19/2019 16:00:00,88.09
3/20/2019 16:00:00,89.86
3/21/2019 16:00:00,90.96
3/22/2019 16:00:00,88.24
3/25/2019 16:00:00,88.71
3/26/2019 16:00:00,89.19
3/27/2019 16:00:00,88.29
3/28/2019 16:00:00,88.67
3/29/2019 16:00:00,89.04
4/1/2019 16:00:00,90.71
4/2/2019 16:00:00,90.7
4/3/2019 16:00:00,91.04
4/4/2019 16:00:00,90.94
4/5/2019 16:00:00,91.86
4/8/2019 16:00:00,92.49
4/9/2019 16:00:00,91.79
4/10/2019 16:00:00,92.37
4/11/2019 16:00:00,92.2
4/12/2019 16:00:00,92.15
4/15/2019 16:00:00,92.24
4/16/2019 16:00:00,93.15
4/17/2019 16:00:00,93.24
4/18/2019 16:00:00,93.08
4/22/2019 16:00:00,94.37
4/23/2019 16:00:00,96.19
4/24/2019 16:00:00,95.09
4/25/2019 16:00:00,95.11
4/26/2019 16:00:00,97.53
4/29/2019 16:00:00,96.92
4/30/2019 16:00:00,96.33
5/1/2019 16:00:00,95.58
5/2/2019 16:00:00,95.04